"state","region","pop","area","density","metro","waste","energy","toxic","green","csat","vsat","msat","percent","expense","income","high","college","exp_scale","per_scale"
"Hawaii","West",1108000,6423,172.509994506836,75.5,1.16999995708466,243,0.769999980926514,NA,883,405,478,55,5166,45.248,80.0999984741211,22.8999996185303,-69.9607843137255,19.2352941176471
"Idaho","West",1007000,82751,12.1700000762939,20.3999996185303,0.839999973773956,354,11.5100002288818,17.0200004577637,968,463,505,18,3386,29.433,79.6999969482422,17.7000007629395,-1849.96078431373,-17.7647058823529
"Illinois","Midwest",11431000,55593,205.619995117188,82.6999969482422,1.27999997138977,308,10.4099998474121,25.7399997711182,1006,471,535,16,5520,37.854,76.1999969482422,21,284.039215686274,-19.7647058823529
"Indiana","Midwest",5544000,35870,154.559997558594,68.5,1.02999997138977,446,30.4500007629395,39.0699996948242,865,408,457,57,4930,33.558,75.5999984741211,15.6000003814697,-305.960784313726,21.2352941176471
"Iowa","Midwest",2777000,55875,49.7000007629395,44,0.829999983310699,333,14.6499996185303,24.1599998474121,1093,515,578,5,4679,30.565,80.0999984741211,16.8999996185303,-556.960784313726,-30.7647058823529
"Kansas","Midwest",2478000,81823,30.2800006866455,53.7999992370605,0.970000028610229,423,36.2799987792969,28.3799991607666,1039,493,546,10,4874,31.803,81.3000030517578,21.1000003814697,-361.960784313726,-25.7647058823529
"Kentucky","South",3685000,39732,92.75,46.5,0.949999988079071,376,11.5100002288818,29.4099998474121,993,473,520,11,4354,26.259,64.5999984741211,13.6000003814697,-881.960784313726,-24.7647058823529
"Louisiana","South",4220000,43566,96.8600006103516,69.5,0.829999983310699,783,101.279998779297,39.2299995422363,994,476,518,9,4146,25.578,68.3000030517578,16.1000003814697,-1089.96078431373,-26.7647058823529
"Maine","N. East",1228000,30865,39.7900009155273,35.9000015258789,0.769999980926514,309,12.0699996948242,17.1100006103516,879,421,458,64,5458,32.459,78.8000030517578,18.7999992370605,222.039215686274,28.2352941176471
"Maryland","South",4781000,9775,489.100006103516,92.8000030517578,1.07000005245209,268,3.35999989509583,16.8500003814697,904,429,475,64,6566,45.897,78.4000015258789,26.5,1330.03921568627,28.2352941176471
"Massachusetts","N. East",6016000,7838,767.539978027344,90.4000015258789,1.12999999523163,229,3.46000003814697,15.2700004577637,896,426,470,79,6366,43.061,80,27.2000007629395,1130.03921568627,43.2352941176471
"Michigan","Midwest",9295000,56809,163.619995117188,80.0999984741211,1.25999999046326,298,12.8900003433228,19.6499996185303,980,461,519,11,5883,36.148,76.8000030517578,17.3999996185303,647.039215686274,-24.7647058823529
"Minnesota","Midwest",4375000,79617,54.9500007629395,67.6999969482422,1.00999999046326,305,11.8999996185303,19.2999992370605,1023,480,543,12,5239,36.019,82.4000015258789,21.7999992370605,3.03921568627447,-23.7647058823529
"Mississippi","South",2573000,46914,54.8499984741211,30.1000003814697,0.540000021457672,358,40.2799987792969,19.4799995422363,997,477,520,4,3187,23.465,64.3000030517578,14.6999998092651,-2048.96078431373,-31.7647058823529
"Missouri","Midwest",5117000,68898,74.2699966430664,66.1999969482422,1.47000002861023,294,13.4300003051758,21.9300003051758,1002,476,526,12,4754,30.72,73.9000015258789,17.7999992370605,-481.960784313726,-23.7647058823529
"Montana","West",799000,145556,5.48999977111816,23.8999996185303,0.75,415,53.4099998474121,32.8300018310547,982,464,518,22,5204,26.788,81,19.7999992370605,-31.9607843137255,-13.7647058823529
"Nebraska","Midwest",1578000,76878,20.5300006866455,48.5,0.819999992847443,334,11.0200004577637,24.75,1024,481,543,10,5038,30.317,81.8000030517578,18.8999996185303,-197.960784313726,-25.7647058823529
"Nevada","West",1202000,109806,10.9499998092651,82.9000015258789,0.829999983310699,337,2.72000002861023,19.8899993896484,919,435,484,25,4653,36.138,78.8000030517578,15.3000001907349,-582.960784313726,-10.7647058823529
"New Hampshire","N. East",1109000,8969,123.650001525879,56.0999984741211,0.990000009536743,224,7.48000001907349,14.6199998855591,921,440,481,75,5672,42.335,82.1999969482422,24.3999996185303,436.039215686274,39.2352941176471
"New Jersey","N. East",7730000,7419,1041.92004394531,100,0.920000016689301,296,3.35999989509583,13.8800001144409,886,417,469,74,8645,47.693,76.6999969482422,24.8999996185303,3409.03921568627,38.2352941176471
"New Mexico","West",1515000,121365,12.4799995422363,48.4000015258789,0.990000009536743,347,21.5499992370605,35.9599990844727,996,474,522,12,3895,28.069,75.0999984741211,20.3999996185303,-1340.96078431373,-23.7647058823529
"New York","N. East",17990000,47224,380.950012207031,91.0999984741211,1.22000002861023,200,3.35999989509583,12.2299995422363,881,413,468,75,8565,38.415,76.6999969482422,23.1000003814697,3329.03921568627,39.2352941176471
"North Carolina","South",6629000,48718,136.070007324219,56.7000007629395,0.910000026226044,300,18.7000007629395,19.4899997711182,844,400,444,57,4488,31.052,70,17.3999996185303,-747.960784313726,21.2352941176471
"North Dakota","Midwest",639000,68994,9.26000022888184,40.2999992370605,0.629999995231628,467,3.29999995231628,65.2200012207031,1073,502,571,6,4199,27.051,76.6999969482422,18.1000003814697,-1036.96078431373,-29.7647058823529
"Ohio","Midwest",10847000,40953,264.859985351562,79,1.45000004768372,348,15.5200004577637,23.5100002288818,946,450,496,22,5245,33.452,75.6999969482422,17,9.03921568627447,-13.7647058823529
"Oklahoma","South",3146000,68679,45.810001373291,59.4000015258789,0.949999988079071,396,10.5299997329712,27.9899997711182,997,476,521,9,3791,27.475,74.5999984741211,17.7999992370605,-1444.96078431373,-26.7647058823529
"Oregon","West",2842000,96003,29.6000003814697,68.5,1.1599999666214,318,7.98999977111816,13.8900003433228,922,439,483,54,5683,31.755,81.5,20.6000003814697,447.039215686274,18.2352941176471
"Pennsylvania","N. East",11882000,44820,265.100006103516,84.8000030517578,0.800000011920929,300,7.51999998092651,21.2199993133545,876,417,459,67,6541,33.875,74.6999969482422,17.8999996185303,1305.03921568627,31.2352941176471
"Rhode Island","N. East",1003000,1045,959.809997558594,92.5,1.20000004768372,218,5.25,11.7600002288818,880,421,459,67,6343,37.501,72,21.2999992370605,1107.03921568627,31.2352941176471
"South Carolina","South",3487000,30111,115.800003051758,60.5999984741211,1.14999997615814,330,19.2800006866455,17.4400005340576,832,395,437,58,4351,30.597,68.3000030517578,16.6000003814697,-884.960784313726,22.2352941176471
"South Dakota","Midwest",696000,75898,9.17000007629395,29.5,1.14999997615814,284,4.21999979019165,22.5499992370605,1047,496,551,5,3965,26.223,77.0999984741211,17.2000007629395,-1270.96078431373,-30.7647058823529
"Tennessee","South",4877000,41220,118.319999694824,67.6999969482422,1.02999997138977,350,42.5400009155273,22.5200004577637,1015,487,528,12,3782,28.908,67.0999984741211,16,-1453.96078431373,-23.7647058823529
"Texas","South",16987000,261914,64.8600006103516,81.5999984741211,1.05999994277954,569,24.6499996185303,27.2600002288818,874,411,463,44,4438,31.482,72.0999984741211,20.2999992370605,-797.960784313726,8.23529411764706
"Utah","West",1723000,82168,20.9699993133545,77.5,0.699999988079071,316,72.8000030517578,25.3299999237061,1031,494,537,5,2960,34.342,85.0999984741211,22.2999992370605,-2275.96078431373,-30.7647058823529
"Vermont","N. East",563000,9249,60.8699989318848,23.3999996185303,0.689999997615814,232,1.80999994277954,15.1700000762939,890,424,466,68,6738,34.717,80.8000030517578,24.2999992370605,1502.03921568627,32.2352941176471
"Virginia","South",6187000,39598,156.25,72.5,1.45000004768372,306,12.8699998855591,18.7199993133545,890,424,466,60,4836,38.838,75.1999969482422,24.5,-399.960784313726,24.2352941176471
"Washington","West",4867000,66582,73.0999984741211,81.6999969482422,1.04999995231628,389,8.51000022888184,16.5100002288818,913,433,480,49,5000,36.338,83.8000030517578,22.8999996185303,-235.960784313726,13.2352941176471
"West Virginia","South",1793000,24087,74.4400024414062,36.4000015258789,0.949999988079071,415,21.2999992370605,51.1399993896484,926,441,485,17,4911,24.233,66,12.3000001907349,-324.960784313726,-18.7647058823529
"Wisconsin","Midwest",4892000,54314,90.0699996948242,67.4000015258789,0.699999988079071,288,9.19999980926514,20.5799999237061,1023,481,542,11,5871,34.309,78.5999984741211,17.7000007629395,635.039215686274,-24.7647058823529
"Wyoming","West",454000,97105,4.67999982833862,29.6000003814697,0.699999988079071,786,25.5100002288818,114.400001525879,980,466,514,13,5723,31.576,83,18.7999992370605,487.039215686274,-22.7647058823529
